361, 0.3576, 134.9
362, 0.3576, 135.2
363, 0.3576, 135.6
364, 0.3576, 135.9
365, 0.3577, 136.3
366, 0.3577, 136.6
367, 0.3577, 137.0
368, 0.3577, 137.4
369, 0.3577, 137.7
370, 0.3578, 138.1
371, 0.3578, 138.4
372, 0.3578, 138.8
373, 0.3578, 139.1
374, 0.3578, 139.5
375, 0.3578, 139.8
376, 0.3579, 140.2
377, 0.3579, 140.5
378, 0.3579, 140.9
379, 0.3579, 141.3
380, 0.3579, 141.6
381, 0.3580, 142.0
382, 0.3580, 142.3
383, 0.3580, 142.7
384, 0.3580, 143.0
385, 0.3580, 143.4
386, 0.3581, 143.7
387, 0.3581, 144.1
388, 0.3581, 144.4
389, 0.3581, 144.8
390, 0.3581, 145.1
391, 0.3581, 145.5
392, 0.3582, 145.8
393, 0.3582, 146.2
394, 0.3582, 146.6
395, 0.3582, 146.9
396, 0.3582, 147.3
397, 0.3582, 147.6
398, 0.3583, 148.0
399, 0.3583, 148.3
400, 0.3583, 148.7
401, 0.3583, 149.0
402, 0.3583, 149.4
403, 0.3583, 149.7
404, 0.3583, 150.1
405, 0.3583, 150.4
406, 0.3583, 150.8
407, 0.3583, 151.1
408, 0.3583, 151.5
409, 0.3583, 151.9
410, 0.3584, 152.2
411, 0.3584, 152.6
412, 0.3584, 152.9
413, 0.3584, 153.3
414, 0.3584, 153.6
415, 0.3584, 154.0
416, 0.3585, 154.3
417, 0.3585, 154.7
418, 0.3585, 155.0
419, 0.3585, 155.4
420, 0.3585, 155.7
421, 0.3585, 156.1
422, 0.3586, 156.5
423, 0.3586, 156.8
424, 0.3586, 157.2
425, 0.3586, 157.5
426, 0.3586, 157.9
427, 0.3586, 158.2
428, 0.3586, 158.6
429, 0.3587, 158.9
430, 0.3587, 159.3
431, 0.3587, 159.6
432, 0.3587, 160.0
433, 0.3587, 160.3
434, 0.3587, 160.7
435, 0.3587, 161.0
436, 0.3588, 161.4
437, 0.3588, 161.7
438, 0.3588, 162.1
439, 0.3588, 162.5
440, 0.3588, 162.8
441, 0.3588, 163.2
442, 0.3588, 163.5
443, 0.3589, 163.9
444, 0.3589, 164.2
445, 0.3589, 164.6
446, 0.3589, 164.9
447, 0.3589, 165.3
448, 0.3589, 165.6
449, 0.3589, 166.0
450, 0.3590, 166.3
451, 0.3590, 166.7
452, 0.3590, 167.0
453, 0.3590, 167.4
454, 0.3590, 167.7
455, 0.3590, 168.1
456, 0.3590, 168.5
457, 0.3591, 168.8
458, 0.3591, 169.2
459, 0.3591, 169.5
460, 0.3591, 169.9
461, 0.3591, 170.2
462, 0.3591, 170.6
463, 0.3591, 170.9
464, 0.3591, 171.3
465, 0.3592, 171.6
466, 0.3592, 172.0
467, 0.3592, 172.3
468, 0.3592, 172.7
469, 0.3592, 173.0
470, 0.3592, 173.4
471, 0.3592, 173.8
472, 0.3593, 174.1
473, 0.3593, 174.5
474, 0.3593, 174.8
475, 0.3593, 175.2
476, 0.3593, 175.5
477, 0.3593, 175.9
478, 0.3593, 176.2
479, 0.3593, 176.6
480, 0.3593, 176.9
481, 0.3594, 177.3
482, 0.3594, 177.6
483, 0.3594, 178.0
484, 0.3594, 178.3
485, 0.3594, 178.7
486, 0.3594, 179.0
487, 0.3594, 179.4
488, 0.3594, 179.8
489, 0.3595, 180.1
490, 0.3595, 180.5
491, 0.3595, 180.8
492, 0.3595, 181.2
493, 0.3595, 181.5
494, 0.3595, 181.9
495, 0.3595, 182.2
496, 0.3595, 182.6
497, 0.3596, 182.9
498, 0.3596, 183.3
499, 0.3596, 183.6
500, 0.3596, 184.0
501, 0.3596, 184.3
502, 0.3596, 184.7
503, 0.3596, 185.0
504, 0.3596, 185.4
505, 0.3596, 185.7
506, 0.3597, 186.1
507, 0.3597, 186.4
508, 0.3597, 186.8
509, 0.3597, 187.2
510, 0.3597, 187.5
511, 0.3597, 187.9
512, 0.3597, 188.2
513, 0.3597, 188.6
514, 0.3597, 188.9
515, 0.3597, 189.3
516, 0.3597, 189.6
517, 0.3597, 190.0
